date,city,no2_trop_mean,aai_mean,cloud_frac_mean,temperature_celsius,pressure_hpa,u_wind_10m,v_wind_10m
2021-02-05,Surgut,,-1.527521955701371,0.4193364059330373,-13.848359674613391,1005.1027605084038,-1.153325786146651,2.513717208373567
2021-02-06,Surgut,,-2.233659649098778,0.7951928343619207,-1.8867045829603624,991.1105605178476,0.7342545625820892,4.729491684994854
2021-02-07,Surgut,,-1.1093639092723315,0.661071420339149,-2.8350506159393944,978.707617625648,-1.1053718090420304,5.846960833366543
2021-02-08,Surgut,,0.0,0.7674806142996703,-16.74000645563291,986.1336227082876,-0.7928333519332489,2.8392209943678064
2021-02-09,Surgut,,-0.9721961931827646,0.3756479515906269,-22.45969958425127,995.0155863838634,1.0140246658835592,-0.5171416639799358
2021-02-10,Surgut,,-0.910673727632322,0.4450126076500987,-28.069043815064877,1012.9156887462976,3.658369313188744,-0.0691916550532874
2021-02-11,Surgut,,-1.4031691184293609,0.315185974158428,-30.019223489414884,1021.76073383197,3.532799935582518,0.6698854011884366
2021-02-12,Surgut,,-1.5273500370383888,0.3017422088601293,-31.43536622934849,1025.720795127375,1.7033720783988084,0.4997627318051076
2021-02-13,Surgut,,-1.1837742401943847,0.5476097122719015,-24.596508591351693,1020.4737045577454,-1.2793685925463878,0.6754655816332201
2021-02-14,Surgut,,0.0,0.5988135761328335,-20.73296410699251,1015.582225030154,-4.4507710040534905,0.5509650226262633
2021-02-15,Surgut,,-1.5157602883015042,0.2343750465199236,-13.81059912675579,1000.2988357370466,2.7751393156097857,0.7162892052183948
2021-02-16,Surgut,,-1.0670227122736922,0.3465180426344628,-22.458947254830832,1004.6965952578564,2.673137940853513,1.196234360951498
2021-02-17,Surgut,,-1.39247423870245,0.2622677999444794,-29.477767010229456,1010.9830635895814,2.898985847350243,-0.1451607074310815
2021-02-18,Surgut,,-1.406743070532051,0.315244279089331,-33.8436335383912,1017.0650221822434,0.1565496706549032,-0.6938203278582328
2021-02-19,Surgut,,-1.333648350919298,0.3310736093377113,-34.32347945169121,1011.5308752968064,1.4912168209032146,-0.9565758698740072
2021-02-20,Surgut,,-1.2831081963113629,0.4236825041847156,-29.67273663453309,1016.5608607426494,0.6154438416048515,1.942512483764515
2021-02-21,Surgut,,-1.3706721365527943,0.4058424581083761,-27.375132128732275,1013.4034738581068,-1.1763025730106926,-0.94423523158574
2021-02-22,Surgut,,-1.529312969488796,0.3476619062328084,-32.78567105049413,1019.3842303611297,1.314993352561082,-1.8932868783177796
2021-02-23,Surgut,,-1.588788210599693,0.3532985773375111,-36.45562134623438,1028.084444208483,-0.6151450781831184,-1.884571915338929
2021-02-24,Surgut,,-1.5358416895079627,0.383761084487826,-35.09877415683667,1022.3298461506232,-1.9459947265073647,-2.259444893464224
2021-02-25,Surgut,,-1.4731114286857507,0.3425385511914917,-33.73618120800839,1015.2742114129694,-0.3046958097752358,-3.193769807326164
2021-02-26,Surgut,,-1.4823706956273377,0.288613804087735,-31.77709751861892,1020.1888974457588,2.079272958434163,0.2377232412676281
2021-02-27,Surgut,,-1.621020089286029,0.3960314005437864,-28.002979811854885,1021.5579821501052,1.6727001327106945,1.8105380743287127
2021-02-28,Surgut,,-1.5793817382949966,0.3655871912608702,-27.20009540340402,1019.184923088906,-2.030318909308775,1.3088313032695122
2021-03-01,Surgut,,-1.5949068163333469,0.3744910552801467,-26.440992236197616,1012.6703990043936,-2.3527734645144687,1.2585163587790928
2021-03-02,Surgut,,-1.390643434541846,0.3684766344542118,-20.8707045159899,1003.57921085433,-1.3101472417184028,4.192312975812883
2021-03-03,Surgut,,-1.4027509445380408,0.5263430421227211,-12.469399637351389,994.3961237273744,-0.5409078836794421,5.421616283922639
2021-03-04,Surgut,,-1.3777585253928644,0.5135375432611056,-7.55176420529267,990.4124098319808,-0.4761640245140933,3.822202208771545
2021-03-05,Surgut,,-1.1908117035598744,0.6730500507373578,-8.326639152309554,989.8587139306018,0.4746934283846049,2.1402330197227046
2021-03-06,Surgut,,-1.5439019325020145,0.4759825085279547,-9.05577817330908,991.1113165541642,1.051507880145892,-0.6774828299514112
2021-03-07,Surgut,,-1.549300491929535,0.418855918004214,-12.305118190874111,1000.993273280979,0.9178663793294204,0.1544485523241985
2021-03-08,Surgut,,-1.268775425124474,0.513845897854904,-16.24421179811577,996.2553412431258,1.8170274473108627,-1.6477420408173793
2021-03-09,Surgut,,-1.2260231786884266,0.4631384701515489,-18.425248223465104,1001.419980456818,-0.995292868727088,-1.006265052865437
2021-03-10,Surgut,,-1.5154755114336456,0.3238355152029468,-24.360516538307905,1005.72592438293,-1.16132137365975,-2.2535884819155685
2021-03-11,Surgut,,-1.2480689590801457,0.5337160359420632,-25.093892843289662,1001.498619062854,-2.176006669527884,-3.11396885958781
2021-03-12,Surgut,,-1.4382014003525831,0.3757354039061352,-23.5235479794886,1001.9811602783448,2.600875330569198,0.7178738965336026
2021-03-13,Surgut,,-1.1831573432392806,0.611627035624649,-14.371138143904318,1005.6337432517312,4.502279249372446,1.7598473153444587
2021-03-14,Surgut,,-1.5679041189982057,0.3943166292702676,-10.308551013455826,1010.6368017630934,3.9311077981472144,2.60676745056022
2021-03-15,Surgut,,-1.6078082280182595,0.3376712904514838,-8.519165439175538,1011.1994824580617,3.5147479060024467,2.3934698115173343
2021-03-16,Surgut,,-1.552021777945558,0.3513814066490833,-5.987771739179607,1013.2335827258717,2.18411032671119,3.2219075901894274
2021-03-17,Surgut,,-1.4719905421345327,0.7580412017377162,-3.553889452709541,1009.7864667829484,3.042331417439834,2.6548296933954814
2021-03-18,Surgut,,-1.1827659533914645,0.6286874586582225,-1.2472000228733575,1015.849731149758,2.5755377597057763,2.653773056526231
2021-03-19,Surgut,,-1.324543135106225,0.6224606124526896,-2.203012718084836,1008.5785419330766,0.7808675995594331,2.208027935876194
